,Liquid. corrente,Dívida líq./Ebitda,CAPEX/FCO,FCL/RL,ROA,ROIC,Margem Ebitda,Margem bruta,PL/AT,RL/AT,Div. Payout,Intan/AT
BTOW,2.0,0.0,0.0,-0.2169037655547931,-0.015,0.02,0.08499999999999999,0.29000000000000004,0.38835196757381196,0.4346540431721745,0.0,0.16152265068367944
PMAM,0.82,6.0,0.615,0.013571663838842122,-0.1,-0.015000000000000003,0.015000000000000001,0.02,0.05567289552479908,1.2078211368355194,0.0,0.00216026056460365
EMBR,1.935,6.0,0.21499999999999997,0.06516253071086889,-0.05,-0.03,-0.03,0.13,0.31025403392633516,0.301978722742718,0.0,0.14066570256930766
SULA,2.0,0.0,0.0,0.053151028262047144,0.06,0.08499999999999999,0.055,0.135,0.2711509040100007,0.7270587311443792,0.265,0.022506659859276953
MDIA,2.0,0.5844681620626584,0.42,0.05442871268811673,0.07500000000000001,0.085,0.125,0.33999999999999997,0.7083743821879238,0.7513847949170501,0.175,0.19505035482780642
CPLE,1.33,1.645376952907187,0.125,0.10045465945041177,0.065,0.095,0.27,0.28,0.44608708872133157,0.4111348357777556,0.16999999999999998,0.15669038887352715
BRML,2.0,6.0,0.17500000000000002,0.08884932900348214,0.025,0.045,0.66,0.89,0.6033251827187988,0.05749924935897141,0.295,0.008015331642349527
ALPA,2.0,0.0,0.45499999999999996,0.08043809453032105,0.045,0.1,0.125,0.51,0.6157606068251105,0.7598354497157138,0.115,0.07283714001639402
UGPA,2.0,4.640415577466113,0.39,0.012264466201599763,0.02,0.065,0.025,0.07,0.2943270970701538,2.0,0.895,0.05282101574633423
ENBR,1.105,1.930542463661959,0.78,0.027201498621649497,0.055,0.10500000000000001,0.20500000000000002,0.215,0.37370928995906205,0.5243012058019927,0.31,0.08618056782708403
USIM,2.0,0.9509869073082987,0.26,0.11909414596492104,0.025,0.085,0.195,0.165,0.5765798957946946,0.5523463048718631,0.36000000000000004,0.04045890594712713
CGAS,2.0,1.9664112916272098,0.39,0.1623505594193545,0.135,0.25,0.275,0.335,0.058494669434874226,0.9546120106626461,1.0,0.5927408607641711
ODPV,1.73,0.0,0.065,0.15200525207450677,0.175,0.25,0.27,0.575,0.629509870660313,0.970708365034237,0.815,0.4134815600848917
TAEE,2.0,2.6972282527159286,0.05,0.01190690864146049,0.125,0.185,0.845,0.6950000000000001,0.43291951901140663,0.20611427991828396,0.5700000000000001,0.006628059486298091
DASA,2.0,6.0,1.085,0.0038333359806379252,-0.005,0.030000000000000002,0.12000000000000001,0.3,0.3412979249493558,0.48393155339781935,0.49,0.39700048882983097
OIBR,1.7,6.0,1.25,-0.057721507107977695,-0.1,-0.04,0.23,0.22999999999999998,0.17637840897125712,0.20291185328674877,0.0,0.05283322510677206
MRVE,2.0,3.696071870909422,0.0,-0.0027797526585097536,0.04,0.045,0.13,0.29000000000000004,0.340942888125461,0.3901261241994659,0.46,0.008557349627494736
CESP,1.065,1.072605698433651,0.02,-0.14917534060719076,0.105,0.05,0.6100000000000001,0.33999999999999997,0.5238899824094396,0.1266266534939939,0.305,0.1132729320471205
CSMG,1.545,1.5645624450580429,0.14500000000000002,0.16017690231394516,0.07,0.11499999999999999,0.35,0.435,0.5666718218673887,0.4506095958534855,0.73,0.4936462372163402
DTEX,2.0,1.266140315365206,0.0,0.13051056344183637,0.04,0.07500000000000001,0.23500000000000001,0.29000000000000004,0.4557705907120125,0.4895060598148681,0.9500000000000001,0.06529887935644424
SAPR,1.06,1.4261511678969492,0.655,0.11075517462297799,0.08499999999999999,0.135,0.41000000000000003,0.605,0.5217143012994854,0.3796733756717954,0.32999999999999996,0.6027613739821347
CYRE,2.0,1.0474370767343892,0.105,0.17095083394400706,0.10500000000000001,0.15000000000000002,0.38,0.32,0.5125635906053362,0.36394724582524063,1.0,0.002226418353305637
